,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24,2011-05-21,2011-05-16,2011-05-15,2011-05-14,2011-05-13,2011-05-12,2011-05-11,2011-05-10,2011-05-09,2011-05-08,2011-05-07,2011-05-06,2011-05-05,2011-05-04
hum,0.67,0.736,0.769,0.479,0.414,0.395,0.851,0.484,0.5,0.39799999999999996,0.565,0.64,0.746,0.893,0.7879999999999999,0.561,0.8059999999999999,0.633,0.359,0.415
hum5,0.598,0.5468,0.5,0.5382,0.635,0.6768,0.5498,0.5698,0.6484,0.7264,0.7256,0.7588,0.7362,0.6294,0.5548,0.5308,0.4848,0.508,0.6234,0.6352
hum10,0.5293,0.501,0.4819,0.544,0.5526,0.5529,0.5598,0.653,0.6389,0.6406,0.6282,0.6218,0.6221,0.6264,0.595,0.5959,0.5896,0.6083,0.6334,0.6504
hum15,0.578466667,0.556666667,0.529,0.5526,0.584533333,0.610733333,0.6186,0.604666667,0.633733333,0.6388,0.639133333,0.6459999999999999,0.650933333,0.632066667,0.618533333,0.620866667,0.623066667,0.6024666670000001,0.6114,0.6114666670000001
hum20,0.5411,0.53255,0.5261,0.5985,0.59575,0.59675,0.59095,0.63065,0.63615,0.6455,0.64705,0.657,0.6359,0.6159,0.5973,0.6043,0.5889,0.5704,0.591,0.59245
hum25,0.57816,0.57116,0.5726399999999999,0.5804,0.60128,0.60444,0.61448,0.62268,0.6224,0.62312,0.62856,0.62288,0.60356,0.59868,0.58492,0.58012,0.56312,0.55084,0.5586399999999999,0.5636399999999999
hum30,0.560433333,0.5497333329999999,0.5388,0.574433333,0.587966667,0.5951333329999999,0.599733333,0.589166667,0.5812666670000001,0.5937,0.589666667,0.5830333329999999,0.570866667,0.5519666670000001,0.544166667,0.543466667,0.535233333,0.5439,0.5423,0.5379666670000001
raf,0.0,0.0,0.066666667,0.0,0.0,0.0,0.003333333,0.0,0.0,0.0,0.0,0.0,0.056666667000000004,0.013333333000000001,0.01,0.0,0.011666667,0.005,0.0,0.0
raf5,0.015666667,0.015666667,0.002333333,0.000666667,0.009000000000000001,0.009000000000000001,0.008333333,0.011333333000000001,0.013999999999999999,0.016,0.016,0.018333333,0.008,0.005333333000000001,0.003333333,0.003333333,0.001,0.0,0.055,0.056333333
raf10,0.007833333,0.007833333,0.001166667,0.0045,0.0045,0.0045,0.009833333,0.009666667,0.009666667,0.009666667,0.009666667,0.009666667,0.004,0.030166667,0.029833332999999997,0.029833332999999997,0.0295,0.03,0.03,0.03
raf15,0.008222222,0.008222222,0.003777778,0.006777778000000001,0.007666666999999999,0.008333333,0.009222221999999999,0.0064444440000000006,0.024777777999999997,0.025222222000000002,0.025222222000000002,0.025777777999999998,0.022666667,0.021777777999999998,0.021111111000000002,0.021111111000000002,0.025222222000000002,0.024888888999999997,0.024888888999999997,0.024888888999999997
raf20,0.006166667,0.006166667,0.002833333,0.007083333000000001,0.007083333000000001,0.007083333000000001,0.006916667,0.019833333,0.019833333,0.019833333,0.019833333,0.0235,0.020666667,0.02,0.0195,0.020083333000000002,0.0195,0.01925,0.01925,0.01925
raf25,0.008133333000000001,0.008133333000000001,0.005933333000000001,0.005666666999999999,0.016666667,0.016933333000000002,0.017533333,0.0188,0.0188,0.0188,0.019266667,0.019266667,0.017,0.016466667,0.016066667,0.016066667,0.0156,0.0154,0.015533333,0.015533333
raf30,0.007333333,0.007333333,0.005111111,0.014388888999999998,0.014722222,0.014722222,0.017055556,0.016055556000000002,0.016055556000000002,0.016055556000000002,0.016055556000000002,0.016055556000000002,0.014166666999999999,0.013722222,0.0135,0.0135,0.013111111000000002,0.013999999999999999,0.013999999999999999,0.013999999999999999
rfd,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
rfd5,0.4,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.6,0.6,0.8,0.8,0.6,0.4,0.4,0.2,0.0,0.2
rfd10,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
rfd15,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.133333333,0.2,0.26666666699999997,0.4,0.333333333,0.333333333,0.4,0.46666666700000003,0.46666666700000003,0.533333333,0.533333333,0.46666666700000003,0.4,0.4,0.4,0.333333333,0.333333333
rfd20,0.2,0.2,0.2,0.3,0.35,0.35,0.35,0.4,0.45,0.45,0.45,0.45,0.5,0.45,0.4,0.35,0.4,0.35,0.3,0.3
rfd25,0.24,0.28,0.28,0.28,0.28,0.32,0.4,0.4,0.4,0.4,0.4,0.44,0.44,0.4,0.36,0.32,0.32,0.28,0.24,0.28
rfd30,0.3,0.3,0.3,0.3,0.333333333,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.333333333,0.3,0.3,0.3,0.26666666699999997,0.26666666699999997,0.26666666699999997
tav,0.568333333,0.565,0.553333333,0.596666667,0.6333333329999999,0.611666667,0.505,0.525,0.543333333,0.535,0.49,0.523333333,0.54,0.536666667,0.571666667,0.545,0.505,0.52,0.555,0.523333333
tav5,0.593666667,0.605666667,0.612666667,0.576666667,0.559333333,0.556666667,0.562,0.526333333,0.525,0.532333333,0.543333333,0.539666667,0.535666667,0.539333333,0.529666667,0.522333333,0.5206666670000001,0.510333333,0.44933333299999995,0.441
tav10,0.6023333329999999,0.6043333329999999,0.603833333,0.569333333,0.560333333,0.552666667,0.544166667,0.531,0.532166667,0.531,0.532833333,0.530166667,0.523,0.494333333,0.485333333,0.474,0.46816666700000004,0.45933333299999995,0.44833333299999995,0.438166667
