,2011-06-07,2011-06-06,2011-06-05,2011-06-04,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24,2011-05-21,2011-05-16,2011-05-15,2011-05-14,2011-05-13,2011-05-12,2011-05-11,2011-05-10,2011-05-09,2011-05-08
hum,0.45799999999999996,0.505,0.626,0.768,0.67,0.736,0.769,0.479,0.414,0.395,0.851,0.484,0.5,0.39799999999999996,0.565,0.64,0.746,0.893,0.7879999999999999,0.561
hum5,0.6609999999999999,0.7138,0.7216,0.6512,0.598,0.5468,0.5,0.5382,0.635,0.6768,0.5498,0.5698,0.6484,0.7264,0.7256,0.7588,0.7362,0.6294,0.5548,0.5308
hum10,0.6039,0.6069,0.5922,0.5568,0.5293,0.501,0.4819,0.544,0.5526,0.5529,0.5598,0.653,0.6389,0.6406,0.6282,0.6218,0.6221,0.6264,0.595,0.5959
hum15,0.554333333,0.5592,0.5742,0.582866667,0.578466667,0.556666667,0.529,0.5526,0.584533333,0.610733333,0.6186,0.604666667,0.633733333,0.6388,0.639133333,0.6459999999999999,0.650933333,0.632066667,0.618533333,0.620866667
hum20,0.58275,0.5752,0.5681,0.5547,0.5411,0.53255,0.5261,0.5985,0.59575,0.59675,0.59095,0.63065,0.63615,0.6455,0.64705,0.657,0.6359,0.6159,0.5973,0.6043
hum25,0.55824,0.5636399999999999,0.56844,0.57344,0.57816,0.57116,0.5726399999999999,0.5804,0.60128,0.60444,0.61448,0.62268,0.6224,0.62312,0.62856,0.62288,0.60356,0.59868,0.58492,0.58012
hum30,0.567433333,0.5693,0.5753,0.5708,0.560433333,0.5497333329999999,0.5388,0.574433333,0.587966667,0.5951333329999999,0.599733333,0.589166667,0.5812666670000001,0.5937,0.589666667,0.5830333329999999,0.570866667,0.5519666670000001,0.544166667,0.543466667
raf,0.0,0.0,0.0,0.0016666670000000001,0.0,0.0,0.066666667,0.0,0.0,0.0,0.003333333,0.0,0.0,0.0,0.0,0.0,0.056666667000000004,0.013333333000000001,0.01,0.0
raf5,0.00033333300000000006,0.013666667,0.016,0.015666667,0.015666667,0.015666667,0.002333333,0.000666667,0.009000000000000001,0.009000000000000001,0.008333333,0.011333333000000001,0.013999999999999999,0.016,0.016,0.018333333,0.008,0.005333333000000001,0.003333333,0.003333333
raf10,0.008,0.008,0.008,0.007833333,0.007833333,0.007833333,0.001166667,0.0045,0.0045,0.0045,0.009833333,0.009666667,0.009666667,0.009666667,0.009666667,0.009666667,0.004,0.030166667,0.029833332999999997,0.029833332999999997
raf15,0.005333333000000001,0.005333333000000001,0.005555556,0.008222222,0.008222222,0.008222222,0.003777778,0.006777778000000001,0.007666666999999999,0.008333333,0.009222221999999999,0.0064444440000000006,0.024777777999999997,0.025222222000000002,0.025222222000000002,0.025777777999999998,0.022666667,0.021777777999999998,0.021111111000000002,0.021111111000000002
raf20,0.00625,0.00625,0.00625,0.006166667,0.006166667,0.006166667,0.002833333,0.007083333000000001,0.007083333000000001,0.007083333000000001,0.006916667,0.019833333,0.019833333,0.019833333,0.019833333,0.0235,0.020666667,0.02,0.0195,0.020083333000000002
raf25,0.005,0.005,0.007266666999999999,0.007733333,0.008133333000000001,0.008133333000000001,0.005933333000000001,0.005666666999999999,0.016666667,0.016933333000000002,0.017533333,0.0188,0.0188,0.0188,0.019266667,0.019266667,0.017,0.016466667,0.016066667,0.016066667
raf30,0.0068333330000000005,0.0068333330000000005,0.0072222219999999995,0.007333333,0.007333333,0.007333333,0.005111111,0.014388888999999998,0.014722222,0.014722222,0.017055556,0.016055556000000002,0.016055556000000002,0.016055556000000002,0.016055556000000002,0.016055556000000002,0.014166666999999999,0.013722222,0.0135,0.0135
rfd,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
